City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
523,waddan,LY,72.34,few clouds,29.1614,16.139,محل الشريف محمد العايب
524,naushki,RU,70.27,overcast clouds,50.3828,106.1056,
527,jibuti,DJ,80.13,clear sky,11.5,42.5,Orchid Main Camp Goubet
529,axim,GH,79.34,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
531,half moon bay,US,88.57,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
533,palmer,US,83.82,overcast clouds,42.1584,-72.3287,Wedgewood Motel
534,taitung,TW,75.47,moderate rain,22.7583,121.1444,Taitung Bali Suites Hotel
535,maracana,BR,73.89,scattered clouds,-0.7667,-47.45,EDVAN FOX
537,sao joao da barra,BR,73.26,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
539,conceicao do araguaia,BR,79.86,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
540,nagapattinam,IN,80.87,overcast clouds,10.7667,79.8333,Sathya Lodge
541,guerrero,MX,75.49,overcast clouds,17.6667,-100.0,Villaxochilt
544,dentsville,US,77.61,overcast clouds,34.064,-80.9582,Columbia Northeast Hotel
545,dhidhdhoo,MV,82.54,overcast clouds,6.8833,73.1,Dhidhoo beach
551,gazli,UZ,87.17,clear sky,40.1333,63.45,
552,sur,OM,86.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
555,martapura,ID,77.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
556,kashan,IR,88.14,clear sky,33.9831,51.4364,Manouchehri Traditional House
557,pemba,MZ,70.25,scattered clouds,-12.974,40.5178,Guesthouse Samotina
558,soyo,AO,76.37,overcast clouds,-6.1349,12.3689,Hotel Mpampa
559,nagarote,NI,87.37,broken clouds,12.2659,-86.5647,Hospedaje Nagarote
565,saint-raphael,HT,74.62,scattered clouds,19.4333,-72.2,Adouly Hôtel
566,salinas,US,82.56,few clouds,36.6777,-121.6555,Laurel Inn & Conference Center
570,fuling,CN,74.75,overcast clouds,29.7022,107.3919,Yingbin Hostel
572,iralaya,HN,81.39,scattered clouds,15.0,-83.2333,Iglesia morava renovada
574,maraa,BR,75.43,broken clouds,-1.8333,-65.3667,
575,sorong,ID,78.78,overcast clouds,-0.8833,131.25,waigo splash hotel
576,nieuw amsterdam,SR,79.14,few clouds,5.8833,-55.0833,Globe Hotel
577,pacific grove,US,82.15,clear sky,36.6177,-121.9166,Lovers Point Inn
580,prado,BR,72.99,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
581,dakar,SN,79.68,clear sky,14.6937,-17.4441,Redface Studios Meublés
584,billings,US,84.92,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
587,lanxi,CN,72.84,scattered clouds,29.2195,119.477,Shangri-La Hotel
588,hirara,JP,82.44,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
594,wanning,CN,80.85,overcast clouds,18.8003,110.3967,Paradise Hotel
595,atlantic city,US,84.38,broken clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
597,le vauclin,MQ,77.85,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
598,kismayo,SO,78.17,broken clouds,-0.3582,42.5454,Agan-Hotel
602,beyneu,KZ,74.05,overcast clouds,45.3167,55.2,NUR
605,bom jesus,BR,75.51,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
606,bucerias,MX,84.97,few clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
608,leticia,CO,74.01,overcast clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
610,bandarbeyla,SO,79.79,scattered clouds,9.4942,50.8122,JABIR HOTEL
613,cololaca,HN,74.23,broken clouds,14.3,-88.8833,77 barrio el chile
614,kiunga,PG,75.52,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
616,grand-santi,GF,73.74,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
621,bara,NG,81.12,broken clouds,10.3744,10.7288,
623,eyl,SO,78.04,scattered clouds,7.9803,49.8164,Amiin Hotel
626,champerico,GT,84.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
630,candido mendes,BR,75.02,few clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
631,kalamb,IN,75.61,overcast clouds,19.05,73.95,Hotel Ravikiran
