City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,naze,JP,28.3667,129.4833,70.72,94,100,5.79,overcast clouds
168,imbituba,BR,-28.24,-48.6703,69.69,79,54,7.94,broken clouds
169,olafsvik,IS,64.8945,-23.7142,48.7,79,98,8.39,overcast clouds
170,aleksandrov gay,RU,50.147,48.5704,58.05,95,100,5.41,overcast clouds
171,tiznit,MA,29.5833,-9.5,63.36,66,30,1.1,scattered clouds
172,mananara,MG,-16.1667,49.7667,69.69,94,73,2.82,broken clouds
173,avera,US,33.194,-82.5271,80.26,92,98,6.08,overcast clouds
174,macapa,BR,0.0389,-51.0664,78.78,94,75,6.91,broken clouds
175,foumbot,CM,5.5079,10.6356,64.09,99,94,1.39,light rain
176,laguna,US,38.421,-121.4238,99.32,28,75,5.01,broken clouds
177,cidreira,BR,-30.1811,-50.2056,68.97,79,97,11.18,overcast clouds
178,barrow,US,71.2906,-156.7887,37.0,83,48,8.19,scattered clouds
179,mount gambier,AU,-37.8333,140.7667,57.11,100,75,13.8,broken clouds
180,fochville,ZA,-26.4886,27.4939,45.46,43,0,5.64,clear sky
181,san vicente,AR,-26.6167,-54.1333,66.4,62,98,2.91,overcast clouds
182,yerbogachen,RU,61.2767,108.0108,52.54,44,61,3.33,broken clouds
183,mishan,CN,45.55,131.8833,58.53,82,98,6.91,overcast clouds
184,vanavara,RU,60.34,102.2797,50.77,44,66,7.2,broken clouds
185,fairbanks,US,64.8378,-147.7164,74.25,33,1,11.5,clear sky
186,banda aceh,ID,5.5577,95.3222,79.48,80,100,11.07,overcast clouds
187,toora-khem,RU,52.4675,96.11,40.03,94,99,6.96,light rain
188,cochrane,CA,51.1834,-114.4687,59.61,81,90,18.7,overcast clouds
189,saint anthony,US,45.0205,-93.218,96.85,35,40,1.99,scattered clouds
190,wagar,SD,16.1525,36.2032,89.44,29,31,6.44,scattered clouds
191,nador,MA,35.174,-2.9287,66.45,88,0,2.62,clear sky
192,grindavik,IS,63.8424,-22.4338,49.95,93,75,19.69,moderate rain
193,egvekinot,RU,66.3167,-179.1667,38.55,69,21,2.91,few clouds
194,izyum,UA,49.2088,37.2485,55.26,97,98,6.17,overcast clouds
195,constitucion,CL,-35.3333,-72.4167,51.4,65,100,4.85,overcast clouds
196,kyra,RU,49.5776,111.9753,67.48,37,16,4.16,few clouds
197,san quintin,MX,30.4833,-115.95,65.66,67,13,8.99,few clouds
198,pavlodolskaya,RU,43.7192,44.4781,61.38,95,95,3.29,overcast clouds
199,kalmunai,LK,7.4167,81.8167,77.59,84,87,3.24,overcast clouds
200,tiksi,RU,71.6872,128.8694,41.29,62,81,9.13,broken clouds
201,bambous virieux,MU,-20.3428,57.7575,70.05,88,40,3.94,scattered clouds
202,iracoubo,GF,5.4802,-53.2011,77.95,88,31,10.36,scattered clouds
203,xining,CN,36.6167,101.7667,62.13,34,100,3.85,overcast clouds
204,edd,ER,13.9297,41.6925,86.99,71,18,2.28,few clouds
205,shimoda,JP,34.6667,138.95,70.16,93,97,7.74,heavy intensity rain
206,umm lajj,SA,25.0213,37.2685,81.1,56,15,8.43,few clouds
207,osmena,PH,10.5208,119.9258,82.45,75,100,5.1,overcast clouds
208,meulaboh,ID,4.1363,96.1285,74.23,86,91,5.03,overcast clouds
209,brae,GB,60.3964,-1.353,48.11,83,48,6.35,scattered clouds
210,camacha,PT,33.0833,-16.3333,63.54,77,75,11.5,broken clouds
211,koslan,RU,63.4564,48.8989,57.06,72,38,5.28,scattered clouds
212,matagami,CA,49.7502,-77.6328,57.31,67,90,3.51,overcast clouds
213,vao,NC,-22.6667,167.4833,71.31,64,96,20.11,overcast clouds
214,caruaru,BR,-8.2833,-35.9761,67.32,97,29,5.55,scattered clouds
215,elizabeth city,US,36.2946,-76.2511,84.4,79,82,1.99,broken clouds
216,honningsvag,NO,70.9821,25.9704,41.2,82,31,17.34,scattered clouds
217,bengkulu,ID,-3.8004,102.2655,75.33,91,17,3.2,few clouds
218,monterey,US,36.2505,-121.2516,89.06,22,6,11.01,clear sky
219,huarmey,PE,-10.0681,-78.1522,65.3,84,9,9.44,clear sky
220,almaznyy,RU,48.0448,40.045,57.34,96,97,8.48,overcast clouds
221,sao filipe,CV,14.8961,-24.4956,76.32,69,96,11.61,overcast clouds
222,kruisfontein,ZA,-34.0033,24.7314,51.4,33,0,6.89,clear sky
223,guerrero negro,MX,27.9769,-114.0611,70.97,57,39,16.58,scattered clouds
224,puerto escondido,MX,15.85,-97.0667,84.99,70,99,5.66,overcast clouds
225,pisco,PE,-13.7,-76.2167,64.45,82,40,8.05,scattered clouds
226,komsomolskiy,UZ,40.4272,71.7189,80.02,40,66,4.61,broken clouds
227,hasaki,JP,35.7333,140.8333,72.28,73,100,4.0,overcast clouds
228,whitehorse,CA,60.7161,-135.0538,63.37,31,75,14.97,light rain
229,maltahohe,NA,-24.8333,16.9833,49.82,47,0,13.96,clear sky
230,san patricio,US,28.017,-97.5169,86.68,70,63,9.93,broken clouds
231,smithers,CA,54.7804,-127.1743,55.72,38,75,2.3,broken clouds
232,snezhnogorsk,RU,69.1933,33.2531,31.78,76,48,3.6,scattered clouds
233,adjumani,UG,3.3779,31.7909,65.52,96,93,1.61,light rain
234,haines junction,CA,60.7522,-137.5108,58.95,41,77,14.97,light rain
235,kendari,ID,-3.945,122.4989,79.83,79,48,2.46,scattered clouds
236,conde,BR,-7.2597,-34.9075,76.46,88,40,8.28,scattered clouds
237,pevek,RU,69.7008,170.3133,45.25,76,86,10.67,overcast clouds
238,sosnovoborsk,RU,56.1325,93.3589,49.55,77,78,8.9,broken clouds
239,sinazongwe,ZM,-17.2614,27.4618,57.65,58,17,1.61,few clouds
240,salta,AR,-24.7859,-65.4117,64.69,74,75,4.0,broken clouds
241,tasiilaq,GL,65.6145,-37.6368,36.82,98,100,5.21,light rain
242,santo tomas,PH,14.1079,121.1414,85.57,81,98,5.55,overcast clouds
243,naranjal,EC,-2.6667,-79.6167,80.53,88,77,3.24,broken clouds
244,lata,PT,40.1629,-8.3327,59.81,93,2,1.32,clear sky
245,srednekolymsk,RU,67.45,153.6833,67.35,29,2,21.47,clear sky
246,maniitsoq,GL,65.4167,-52.9,39.34,94,100,11.36,light rain
247,sakakah,SA,29.9697,40.2064,81.97,17,0,4.5,clear sky
248,vestmannaeyjar,IS,63.4427,-20.2734,46.47,92,99,17.67,overcast clouds
249,provideniya,RU,64.3833,-173.3,40.68,66,70,6.44,broken clouds
250,altay,CN,47.8667,88.1167,47.25,61,0,1.43,clear sky
251,sibu,MY,2.3,111.8167,77.31,94,40,1.23,scattered clouds
252,coquimbo,CL,-29.9533,-71.3436,56.93,88,90,1.36,overcast clouds
253,neyshabur,IR,36.2133,58.7958,79.75,26,0,1.81,clear sky
254,harrisonburg,US,38.4496,-78.8689,84.61,37,14,3.49,few clouds
255,daru,PG,-9.0763,143.2092,77.97,89,100,15.17,overcast clouds
256,kabompo,ZM,-13.5927,24.2008,58.12,54,71,10.4,broken clouds
257,alice springs,AU,-23.7,133.8833,51.35,62,0,9.69,clear sky
258,bangonay,PH,9.3144,125.5539,82.98,73,6,2.89,clear sky
259,uddevalla,SE,58.3478,11.9424,57.06,89,97,1.48,overcast clouds
260,vostok,RU,46.4856,135.8833,52.16,92,100,1.63,light rain
261,san jose,US,37.3394,-121.895,90.09,41,1,4.0,clear sky
262,pangody,RU,65.85,74.4859,40.26,69,47,6.6,scattered clouds
263,ketchikan,US,55.3422,-131.6461,50.47,93,90,13.8,moderate rain
264,henties bay,NA,-22.116,14.2845,75.24,26,0,24.0,clear sky
265,husavik,IS,66.0449,-17.3389,51.71,92,93,2.24,overcast clouds
266,torbay,CA,47.6666,-52.7314,52.29,98,90,11.5,fog
267,abu samrah,SY,35.3029,37.1841,65.21,58,0,6.55,clear sky
268,lompoc,US,34.6391,-120.4579,74.57,79,40,13.0,scattered clouds
269,mehamn,NO,71.0357,27.8492,40.32,85,39,16.33,scattered clouds
270,nauta,PE,-4.5061,-73.5757,74.12,97,92,1.34,overcast clouds
271,chokurdakh,RU,70.6333,147.9167,52.41,64,65,21.03,broken clouds
272,makinsk,KZ,52.6292,70.4169,38.91,54,9,2.26,clear sky
273,port lincoln,AU,-34.7333,135.8667,59.31,81,58,15.35,broken clouds
274,sogne,NO,58.0833,7.8167,61.7,40,97,2.57,light rain
275,xianshuigu,CN,38.985,117.3828,78.8,36,0,4.85,clear sky
276,nioro,GM,13.35,-15.75,80.35,66,46,10.07,scattered clouds
277,hobyo,SO,5.3505,48.5268,77.92,83,61,17.9,broken clouds
278,cayenne,GF,4.9333,-52.3333,77.04,88,75,1.01,broken clouds
279,bend,US,44.0582,-121.3153,65.08,36,1,3.0,clear sky
280,nouadhibou,MR,20.931,-17.0347,69.78,68,85,19.57,dust
281,itoman,JP,26.1247,127.6694,84.58,83,75,16.11,moderate rain
282,rassvet,RU,46.8333,40.75,58.87,98,90,13.42,overcast clouds
283,ust-omchug,RU,61.15,149.6333,46.8,67,96,6.11,overcast clouds
284,asosa,ET,10.0667,34.5333,62.42,82,90,4.21,overcast clouds
